uid,source_id,source,article_date,content,url,count,img_link,entity,author,ground_truth_risk,probability_risk,predicted_risk,coin
90337118-3b4a-475f-953a-2e2055385f3a,,Cointelegraph,2024-01-25,"National Assembly member Kim Nam-kuk had authority in handling laws related to digital assets in South Korea, reportedly backing a bill proposing a 20% crypto gains tax be deferred.",https://cointelegraph.com/news/south-korean-lawmaker-allegedly-cashed-out-while-legislating-on-crypto-report,1,,regulaton,N/A,,,,N/A
16a23a2e-3a4a-426f-913a-4f215f68514b,,Cointelegraph,2024-02-08,Alleged fake news poster becomes the first person in China arrested for using artificial intelligence platform ChatGPT.,https://cointelegraph.com/news/china-issues-first-arrest-over-fake-news-created-with-chatgpt,1,,regulaton,N/A,,,,N/A
2d2a954a-f50a-4a8d-954a-322a7b31456f,,Cointelegraph,2024-01-21,"Ripple’s CEO reveals $200 million spent defending the SEC lawsuit, and laments about U.S. crypto regulation and a politics-first policy, advising entrepreneurs to avoid the United States.",https://cointelegraph.com/news/defending-against-sec-to-cost-ripple-200m-ceo-brad-garlinghouse-says,1,,regulaton,N/A,,,,N/A
58b2656c-6c32-462f-8f78-15838d4a5c6a,,Cointelegraph,2024-02-13,"U.S. sanctions have limited China’s access to the latest chip technology to develop AI, but local companies are not letting this stop them.",https://cointelegraph.com/news/china-is-developing-ai-without-us-chips-here-s-how,1,,regulaton,N/A,,,,N/A
71b0132e-46a1-4e5a-952f-321a5b325a13,,Cointelegraph,2024-01-30,"Neil Tan, chair of the FinTech Association of Hong Kong, says the opening of the financial industry to digital assets is “just a natural progression.”",https://cointelegraph.com/news/hong-kong-to-step-in-as-options-are-dwindling-globally-fintech-chair,1,,regulaton,N/A,,,,N/A
34a0a950-1b56-46a3-947a-55437e5c567a,,Cointelegraph,2024-02-03,A Wells notice is a letter from the SEC indicating possible enforcement action against a person or a firm.,https://cointelegraph.com/explained/what-is-a-wells-notice-explained,1,,regulaton,N/A,,,,N/A
69a93714-a55a-442c-b57a-4a34631c5f6b,,Cointelegraph,2024-01-16,Crypto miners paid millions of dollars in energy fees last year following the regulation of mining activities.,https://cointelegraph.com/news/kazakhstan-collected-7m-in-crypto-mining-taxes-in-2022,1,,regulaton,N/A,,,,N/A
4525134a-f0a1-4e4f-8f5a-75745a2c567a,,Cointelegraph,2024-02-10,"The DOJ’s national security and crime divisions are both looking at the cryptocurrency exchange’s provision of services to Russians, Bloomberg reports.",https://cointelegraph.com/news/us-justice-department-investigating-binance-for-violating-russian-sanctions-report,1,,regulaton,N/A,,,,N/A
27856a2c-953a-4f4a-874a-5a255b3a526f,,Cointelegraph,2024-01-23,"The $279 million figure is more than all of the whistleblower awards issued for 2022, with the SEC dishing out $229 million across 103 awards last year.",https://cointelegraph.com/news/sec-issues-record-whistleblower-award-of-279m,1,,regulaton,N/A,,,,N/A
92b65314-38a3-432c-a57a-6451432c5f6a,,Cointelegraph,2024-02-06,"The ban is intended to reduce Argentina's payment-system exposure to digital assets, said the monetary authority.",https://cointelegraph.com/news/argentina-s-central-bank-halts-cryptocurrencies-from-payment-apps,1,,regulaton,N/A,,,,N/A
13a0125a-f5a1-4e5f-8f5a-75745a2c567a,,Cointelegraph,2024-01-09,"The U.S. presidential candidate has added anti-CBDC to his anti-establishment, anti-vaccination repertoire and has gained double-digit support among Democrats.",https://cointelegraph.com/news/rfk-jr-elaborates-position-on-cbdc-crypto-it-isn-t-just-criminals-who-want-privacy,1,,regulaton,N/A,,,,N/A
74a3322a-f85a-4f6d-954a-322a7b31456f,,Cointelegraph,2024-02-17,The Apple CEO said the company would “continue weaving” AI into its products as internal research indicates an emphasis on building unbiased AI systems.,https://cointelegraph.com/news/tim-cook-says-apple-will-weave-ai-into-products-as-researchers-work-on-solving-bias,1,,regulaton,N/A,,,,N/A
51a9714a-3a4a-426f-913a-4f215f68514b,,Cointelegraph,2024-01-28,"The FCA’s actions followed similar operations in East London and Leeds, where the regulator said it had issued warnings or cease-and-desist requests to suspected ATM operators.",https://cointelegraph.com/news/uk-financial-watchdog-announces-inspections-against-sites-with-suspected-illegal-crypto-atms,1,,regulaton,N/A,,,,N/A
24b4351a-753a-4f4a-874a-5a255b3a526f,,Cointelegraph,2024-02-02,"The tax is intended to reduce greenhouse gas emissions, electricity costs and local environmental pollution, but has not been kindly received by the crypto community.",https://cointelegraph.com/news/would-biden-s-plan-to-tax-crypto-mining-reduce-emissions-critics-say-no,1,,regulaton,N/A,,,,N/A
80b0132e-46a1-4e5a-952f-321a5b325a13,,Cointelegraph,2024-01-14,"Under a bill proposed by New York Attorney General Letitia James, crypto exchanges could be required to reimburse users who were the victims of fraud.",https://cointelegraph.com/news/new-york-ag-s-office-seeks-additional-authority-over-crypto-firms,1,,regulaton,N/A,,,,N/A
47a93714-a55a-442c-b57a-4a34631c5f6b,,Cointelegraph,2024-02-09,A look inside the AI black box problem: confronting the trust dilemma and unearthing strategies for transparent AI.,https://cointelegraph.com/news/ai-s-black-box-problem-challenges-and-solutions-for-a-transparent-future,1,,regulaton,N/A,,,,N/A
f26aa195-a5af-4a58-b805-1c60a797be32,,Cointelegraph,2024-01-24,Crypto developments in Hong Kong do not mean China has softened or will soften its approach to regulating Bitcoin.,https://cointelegraph.com/news/china-s-crypto-stance-unchanged-by-moves-in-hong-kong-says-exec,1,,regulaton,N/A,,,,N/A
19633b2c-3c39-4f8e-b9cd-51d3cfa0a08d,,Cointelegraph,2024-02-11,"The White House national strategy listed eight emerging technologies, focusing on building international standards and finding use cases in the economic sector.",https://cointelegraph.com/news/white-house-to-build-international-standards-for-dlt,1,,regulaton,N/A,,,,N/A
c119d855-d5d7-4dcb-869f-e79e4ff8b69b,,Cointelegraph,2024-01-17,"Zimbabwe’s central bank plans to sell gold-backed digital tokens at $10 for individuals and $5,000 for corporations.",https://cointelegraph.com/news/zimbabwe-sets-price-to-sell-gold-backed-digital-tokens,1,,regulaton,N/A,,,,N/A
77a719d4-27d6-434d-b3cd-a579be96dce0,,Cointelegraph,2024-02-07,Vice President Kamala Harris gathered the heads of several AI development firms to discuss potential risks posed by the budding technology.,https://cointelegraph.com/news/us-vice-president-gathers-top-tech-ceos-to-discuss-dangers-of-ai,1,,regulaton,N/A,,,,N/A
c2fbccdd-0ae0-457d-ac6c-2f25ecc1bdc9,,Cointelegraph,2024-01-31,Coinbase‘s CEO has a lot of faith that Congress will make a “clear rule book” for crypto firms to follow. But the Securities and Exchange Commission? Not so much.,https://cointelegraph.com/news/coinbase-remains-100-committed-to-us-market-armstrong,1,,regulaton,N/A,,,,N/A
d9514732-70b0-4ebd-9554-b97f52208f30,,Cointelegraph,2024-02-04,"Federal securities laws only apply in the United States, but the protocols were developed overseas, argues Terraform Labs.",https://cointelegraph.com/news/terraform-labs-seeks-to-dismiss-class-action-arguing-us-laws-don-t-apply,1,,regulaton,N/A,,,,N/A
a15dacb6-93af-4ab3-b784-79c37f98f59f,,Cointelegraph,2024-01-20,A bill introduced in Kenya could see a tax added to cryptocurrency and NFT transfers and has been met with a mixed reaction online.,https://cointelegraph.com/news/kenya-considers-tax-on-crypto-nft-transfers-and-online-influencers,1,,regulaton,N/A,,,,N/A
0abc97de-789e-49da-aa67-3c3d3770f75b,,Cointelegraph,2024-02-15,The bankrupt crypto brokerage has entered the final stages of liquidation procedures after Binance abandoned its acquisition deal last week.,https://cointelegraph.com/news/voyager-creditors-funds-return-next-few-weeks,1,,regulaton,N/A,,,,N/A
af455ab1-4a59-435b-be39-2a2a6869c2c5,,Cointelegraph,2024-01-10,The legislation includes revisions to laws aimed at prohibiting discriminatory electrical rates for mining firms and not allowing taxation for crypto used as a method of payment.,https://cointelegraph.com/news/montana-governor-signs-pro-cryptocurrency-mining-bill-into-law,1,,regulaton,N/A,,,,N/A
a131315e-98cb-4efe-a278-8012080a7973,,Cointelegraph,2024-02-21,The Biden administration has released a strategy document focusing on setting standards for “critical and emerging” technologies such as blockchain and digital ID.,https://cointelegraph.com/news/new-white-house-standards-strategy-could-have-implications-for-crypto-industry-kyc,1,,regulaton,N/A,,,,N/A
deee92c0-669b-4a94-8a07-b92b05ba092b,,Cointelegraph,2024-01-13,The judge said he read all the papers and declarations related to the FTX debtors’ motion for the sale of LedgerX and was “satisfied” with the proceedings.,https://cointelegraph.com/news/ftx-bankruptcy-judge-approves-sale-of-ledgerx,1,,regulaton,N/A,,,,N/A
cc000611-c5b0-4d04-a049-f50a4f3d9964,,Cointelegraph,2024-02-08,The latest version of the legislation included limiting the Federal Reserve from using the U.S. state as a potential testing ground for its own CBDC pilot.,https://cointelegraph.com/news/north-carolina-house-passes-bill-banning-cbdc-payments-to-the-state,1,,regulaton,N/A,,,,N/A
75fe598b-3c43-4552-91f9-602bcfed3c52,,Cointelegraph,2024-01-26,"Crypto regulation remains controversial, with different governments taking different approaches, but growing adoption will likely lead to more clarity.",https://cointelegraph.com/news/examining-global-successes-challenges-regulating-crypto-report,1,,regulaton,N/A,,,,N/A
68b3aee6-d6b7-4759-81c5-8a6f00c744d2,,Cointelegraph,2024-02-01,"The U.K. Competition and Markets Authority said it would examine AI’s development, deployment and social impact.",https://cointelegraph.com/news/uk-reviews-ai-development-it-can-drive-substantial-economic-growth,1,,regulaton,N/A,,,,N/A
50721901-9ca5-47f2-a241-9b49c4452821,,Cointelegraph,2024-01-19,Coinbase’s legal battle for regulatory clarity over the trading of digital crypto assets saw a development as a U.S. court responded to its complaint against the SEC.,https://cointelegraph.com/news/sec-has-10-days-to-respond-to-coinbase-complaint-legal-exec,1,,regulaton,N/A,,,,N/A
9e42eff9-5014-424a-a224-3610ef00f012,,Cointelegraph,2024-02-14,Nigeria’s Federal Executive Council has approved the national policy on blockchain to help the country develop a regulatory framework to govern the adoption of the technology.,https://cointelegraph.com/news/nigerian-national-blockchain-policy-gets-government-approval,1,,regulaton,N/A,,,,N/A
005264f2-738c-4e92-894d-df04b6329f86,,Cointelegraph,2024-01-06,A May 3 filing to the United States Bankruptcy Court brings new objections to a motion that aimed to redact customer identities.,https://cointelegraph.com/news/mainstream-media-renew-push-for-non-us-ftx-user-identities,1,,regulaton,N/A,,,,N/A
756ab842-b43d-4ecf-b981-60822c7c351b,,Cointelegraph,2024-02-20,The SEC and its staff are “continuing to consider” the term “digital assets” despite proposing a definition of them around nine months ago.,https://cointelegraph.com/news/sec-steps-back-from-defining-digital-assets-in-new-hedge-fund-rules,1,,regulaton,N/A,,,,N/A
f66bab91-25c8-4a04-a0dc-ad5d4e25048b,,Cointelegraph,2024-01-12,Prosecutors claimed Nathaniel Chastain profited from inside information about which NFTs would be featured on the marketplace.,https://cointelegraph.com/news/jury-convicts-former-opensea-manager-in-nft-insider-trading-case,1,,regulaton,N/A,,,,N/A
0e798584-db75-4116-9f9d-2ff9eff8259f,,Cointelegraph,2024-02-03,The Massachusetts Secretary of the Commonwealth's office filed a complaint against Robinhood in December 2020 alleging the platform was in violation of the state’s fiduciary duty standards.,https://cointelegraph.com/news/robinhood-returns-to-court-to-defend-position-in-case-brought-by-us-state-regulator,1,,regulaton,N/A,,,,N/A
0b67a037-c744-4692-ba49-658831cf6433,,Cointelegraph,2024-01-23,The Senate’s proposal comes just months after the National Assembly floated legislation banning influencer advertising for crypto products and services.,https://cointelegraph.com/news/french-senate-proposal-would-allow-influencers-to-promote-cryptocurrency,1,,regulaton,N/A,,,,N/A
62a610c4-5928-4f40-8bee-f3c563198e72,,Cointelegraph,2024-02-10,The Web3 wallet allows institutions to control which employees are allowed to use the tokens held within it.,https://cointelegraph.com/news/securities-token-platform-launches-mpc-wallet-for-institutions,1,,regulaton,N/A,,,,N/A
9199785e-ed55-4810-ae73-f022afddaca3,,Cointelegraph,2024-01-16,Representatives Alexandria Ocasio-Cortez and Matt Gaetz — lawmakers diametrically opposed on a variety of issues — joined forces to stop congressional members from trading stocks.,https://cointelegraph.com/news/us-lawmakers-introduce-bipartisan-bill-proposing-ban-on-members-investing-in-financial-instruments,1,,regulaton,N/A,,,,N/A
6f27e6be-a23b-4141-a8f9-99f77d509b41,,Cointelegraph,2024-02-06,"Asking exchanges to identify users might seem like a minor inconvenience, but could it drive DeFi firms overseas, and would crypto users even care?",https://cointelegraph.com/news/anonymous-crypto-appease-us-regulators-spur-adoption,1,,regulaton,N/A,,,,N/A
1beead1c-d793-4f65-a178-e6784ae56070,,Cointelegraph,2024-01-29,"The Writers Guild of America sent out a list of demands to Hollywood studios, including regulating AI usage in guild-affiliated projects.",https://cointelegraph.com/news/hollywood-studios-reject-banning-ai-from-writer-s-rooms,1,,regulaton,N/A,,,,N/A
197898a3-5c14-4f79-bf88-f64df474cd8e,,Cointelegraph,2024-02-02,"Reactions to the new development varied, with some celebrating and others expressing frustration toward U.S. regulators.",https://cointelegraph.com/news/coinbase-going-international-sparks-community-reactions-crypto-is-global,1,,regulaton,N/A,,,,N/A
c7278db1-b9d5-40b3-8e2b-65d279e67bec,,Cointelegraph,2024-01-18,The U.K. government plans to introduce laws to reimburse victims of authorized crypto fraud and work with Ofcom to prevent phone number “spoofing.“,https://cointelegraph.com/news/uk-government-targets-fraudsters-with-new-ban-on-cold-calls-for-crypto,1,,regulaton,N/A,,,,N/A
902145ce-6d72-4426-86ea-a6caf5bd8ad8,,Cointelegraph,2024-02-13,A law firm backing an FTX investor lawsuit served a crypto influencer in a tweet.,https://cointelegraph.com/news/crypto-influencer-named-in-ftx-lawsuit-served-via-tweet,1,,regulaton,N/A,,,,N/A
72ce122d-1bef-43d5-919d-c1a33f462d0c,,Cointelegraph,2024-01-09,The authorities claimed the exchanges allowed cybercriminals to flout anti-money laundering measures.,https://cointelegraph.com/news/fbi-ukraine-seize-9-exchange-domains-on-money-laundering-allegations,1,,regulaton,N/A,,,,N/A
3335abec-a8d1-4731-8811-341d1b49e888,,Cointelegraph,2024-02-19,"After Sullivan & Cromwell, consulting firm Alvarez & Marsal billed the second-largest amount for its finance and accounting work.",https://cointelegraph.com/news/ftx-advisors-billed-the-bankrupt-firm-for-a-whopping-103m-in-q1,1,,regulaton,N/A,,,,N/A
e389e224-760e-4e01-a4dd-7fe10b6eb03a,,Cointelegraph,2024-01-22,The May 2 blog post by the White House’s Council of Economic Advisers (CEA) has already attracted strong criticism from the community.,https://cointelegraph.com/news/white-house-advisors-renew-push-for-30-digital-mining-energy-tax,1,,regulaton,N/A,,,,N/A
240204d6-8859-41f4-9228-2f3ce1fb37f2,,Cointelegraph,2024-02-07,New court filings are pushing to straighten out the issue in a bid to help recover lost funds for customers.,https://cointelegraph.com/news/celsius-eyes-merge-of-entities-as-creditors-claim-distinctions-were-a-sham,1,,regulaton,N/A,,,,N/A
d1b6f9b7-9934-4511-8928-564290d641dd,,Cointelegraph,2024-01-25,"International Monetary Fund Managing Director Kristalina Georgieva says that wholesale CBDCs, on the other hand, have “fairly little space for undesirable surprises.”",https://cointelegraph.com/news/retail-cbdcs-bring-unknown-consequences-to-financial-system-imf-director,1,,regulaton,N/A,,,,N/A
62a610c4-5928-4f40-8bee-f3c563198e72,,Cointelegraph,2024-02-12,The legislators objected to a chapter of the president’s annual report that they believe diminished the role of Congress and could damage the economy with its hostility to digital assets.,https://cointelegraph.com/news/us-congressmen-chide-presidential-advisers-over-crypto-stances-in-economic-report,1,,regulaton,N/A,,,,N/A
